iter	RMSE
0	0.3463178502
1	0.33650524382	0.3280960938
33	0.32100778974	0.3108687263
5	0.304360005
66	0.29480542877	0.288925075
8	8	0.2798236489	9	0.2725477072
10	0.2658073261111	0.2587909068
12	0.2522285234
13	0.2457517748
14	0.2395343668
15	0.2334197955
16	0.227645423
17	0.2219421269
18	0.2163581413
19	0.2109480613
20	0.2056939488
21	0.2009166808
22	0.1960844627223	0.1914253361224	0.1869809992225	0.1826484835226	0.178318527
27	0.1741275697
28	0.1702175988
29	0.1663968986
30	0.1627117006331	0.1591807034332	0.1556601596333	0.152312057234	0.1507717002
335	0.1460480224336	0.1430786216337	0.1400801733838	0.1371830963939	0.1344181114040	0.1317495514141	0.1291639174242	0.1268702504343	0.1245208534444	0.1222629745	45	0.1200568746	46	0.1179677447	47	0.1160067248	0.1154512489
49	49	0.1121857050	0.1118262025
51	0.1100832371
52	0.1084474718
5353	0.10550981454	0.1053988107
55	0.1039066908
56	0.1024768195
57	0.1011364824
58	0.09982548295
59	0.09855729432
60	0.09732924401
61	0.09616152934
62	0.09505392888
63	0.09412078701
64	0.09310581562
65	0.0921925265
66	0.09129647384
67	0.09038541303
68	0.08959898526
69	0.08878859779
70	0.08808549842
71	0.08737906138
72	0.08670103363
73	0.08602235841
74	0.08539986018
75	0.08478711105
76	0.0841888599
77	0.08360967073
78	0.08309544301
79	0.08258240509
80	0.08212472537
81	0.08169367836
82	0.0812499209
83	0.08084004726
84	0.08047003471
85	0.08012401838
86	0.0797876872
87	0.07943759583
88	88	0.07798702489	89	0.07768202890	90	0.0773847969
91	0.07709667169292	0.07684046961
93	0.0765827719994	0.07633799524
95	0.07611120485996	0.07587235823997	0.07567146648998	0.07547607116999	0.07530695705100	0.07611510504
1101	0.074955050691102	0.074778067841103	0.074613410811104	0.074467588
105	0.07432640673
106	0.07419375908
107	0.07405790676
108	0.07393144143
109	0.07379715827
110	0.07367139912
1111	0.07450086316112	0.0734595512
113	0.07334465696
114	0.07324303214
115	0.0731309792
116	0.07303701184
117	0.07294847643
118	0.07285231322
119	0.07276378539
120	0.07267470497
121	0.07260003932
122	0.07251986704
123	0.07245467946
124	0.07237107917
125	0.07229675607
126	0.07223412013
127	0.0721752041
128	0.0721112434
129	0.0720155851
130	0.07196695468
131	0.07191826322
132	0.07185924001
133	0.07181094926
134	0.07175707497
135	0.07168336962
136	0.07163888618
137	0.07159325725
138	0.07154305913
139	0.07150144333
140	0.0714639716
141	0.07141899706
142	0.07135961139
143	0.07130947738
144	0.07124027573
145	0.07117353032
146	0.07113845656
147	0.07107022345
148	0.07103518396
149	0.0710125474
150	0.07095752503
151	0.07093080986
152	0.07088891068
153	0.07085697298
154	0.07079434856
155	0.07076632675
156	0.07069357023
157	0.0706656329
158	0.07063820917
159	0.0706067075
160	0.07055101765
161	0.07049142774
162	0.07045797029
163	0.07043425763
164	0.07040991975
165	0.07038607098
166	0.07033063519
167	0.0702857493
168	0.07023663736
169	0.07020845209
170	0.07018850938
171	0.07016248304
172	0.07013619367
173	0.0700917385
174	0.07005257011
175	0.07002880999
176	0.0699917513
177	0.06996072232
178	0.0699403988
179	0.06990853535
180	0.06988067476
181	0.06985491949
182	0.06983452197
183	0.06978352572
184	0.06976209298
185	0.06974261977
186	0.06971731755
187	0.06969792663
