iter	Passed	Remaining
434	1474	2592
435	1477	2589
436	1481	2586
437	1485	2584
438	1488	2580
439	1491	2576
440	1494	2572
441	1498	2569
442	1502	2566
443	1506	2564
444	1508	2559
445	1512	2557
446	1516	2553
447	1518	2549
448	1522	2545
449	1524	2541
450	1528	2538
451	1532	2536
452	1535	2532
453	1538	2527
454	1541	2524
455	1544	2519
456	1548	2516
457	1553	2516
458	1555	2511
459	1559	2508
460	1563	2506
461	1567	2504
462	1571	2501
463	1575	2498
464	1580	2498
465	1584	2494
466	1588	2492
467	1591	2488
468	1595	2486
469	1598	2482
470	1601	2478
471	1604	2475
472	1609	2473
473	1612	2469
474	1615	2465
475	1618	2461
476	1621	2457
477	1625	2454
478	1628	2451
479	1632	2448
480	1636	2446
481	1642	2447
482	1647	2445
483	1650	2441
484	1654	2438
485	1658	2436
486	1663	2435
487	1667	2433
488	1671	2429
489	1676	2429
490	1680	2426
491	1684	2423
492	1688	2421
493	1692	2418
494	1695	2415
495	1698	2410
496	1701	2406
497	1705	2404
498	1708	2399
499	1711	2396
500	1714	2392
501	1717	2388
502	1722	2386
503	1725	2383
504	1729	2379
505	1732	2375
506	1734	2371
507	1738	2368
508	1742	2364
509	1744	2360
510	1746	2355
511	1752	2354
512	1755	2351
513	1760	2349
514	1762	2344
515	1765	2340
516	1769	2337
517	1772	2333
518	1774	2328
519	1778	2325
520	1781	2321
521	1784	2317
522	1787	2314
523	1790	2310
524	1793	2305
525	1796	2301
526	1799	2297
527	1802	2294
528	1805	2290
529	1808	2286
530	1811	2281
531	1813	2277
532	1818	2275
533	1821	2271
534	1823	2266
535	1827	2264
536	1831	2260
537	1835	2258
538	1838	2254
539	1841	2250
540	1844	2247
541	1848	2244
542	1851	2239
543	1855	2237
544	1857	2232
545	1860	2228
546	1865	2226
547	1868	2223
548	1873	2221
549	1875	2216
550	1879	2213
551	1882	2209
552	1886	2206
553	1888	2202
554	1892	2198
555	1895	2195
556	1898	2191
557	1901	2188
558	1905	2184
559	1907	2179
560	1911	2177
561	1914	2173
562	1918	2170
563	1921	2166
564	1924	2162
565	1927	2159
566	1931	2156
567	1934	2152
568	1937	2148
569	1940	2144
570	1943	2141
571	1947	2138
572	1951	2135
573	1954	2131
574	1956	2126
575	1960	2124
576	1964	2121
577	1968	2118
578	1971	2114
579	1975	2111
580	1978	2107
581	1981	2103
582	1984	2099
583	1987	2096
584	1991	2093
585	1993	2089
586	1997	2086
587	2000	2081
588	2002	2077
589	2007	2075
590	2009	2071
591	2012	2066
592	2015	2063
593	2018	2059
594	2021	2055
595	2024	2052
596	2028	2048
597	2030	2044
598	2032	2039
599	2037	2037
600	2040	2033
601	2043	2029
602	2046	2025
603	2048	2021
604	2053	2019
605	2057	2016
606	2061	2013
607	2064	2010
608	2067	2006
609	2070	2002
610	2073	1999
611	2076	1995
612	2079	1991
613	2083	1988
614	2087	1985
615	2089	1980
616	2092	1977
617	2095	1973
618	2098	1969
619	2102	1966
620	2105	1962
621	2107	1958
622	2111	1955
623	2114	1951
624	2117	1948
625	2121	1944
626	2124	1941
627	2126	1937
628	2129	1933
629	2132	1929
630	2136	1926
631	2140	1923
632	2143	1919
633	2145	1915
634	2149	1912
635	2152	1909
636	2156	1905
637	2160	1903
638	2163	1899
639	2167	1896
640	2171	1893
641	2174	1889
642	2177	1886
643	2180	1882
644	2183	1878
645	2186	1875
646	2189	1871
647	2192	1867
648	2195	1863
649	2199	1861
650	2202	1857
651	2205	1853
652	2209	1850
653	2211	1846
654	2215	1843
655	2218	1839
656	2221	1835
657	2223	1831
658	2227	1828
659	2231	1825
660	2234	1821
661	2237	1818
662	2240	1814
663	2242	1810
664	2247	1807
665	2250	1804
666	2252	1800
667	2255	1796
668	2258	1792
669	2264	1791
670	2269	1789
671	2272	1785
672	2275	1782
673	2279	1778
674	2282	1775
675	2285	1771
676	2288	1767
677	2293	1765
678	2296	1761
679	2299	1758
680	2302	1754
681	2305	1751
682	2308	1747
683	2312	1744
684	2315	1740
685	2317	1736
686	2321	1733
687	2325	1730
688	2328	1726
689	2331	1723
690	2334	1719
691	2336	1715
692	2340	1712
693	2343	1708
694	2346	1704
695	2349	1701
696	2353	1698
697	2358	1696
698	2362	1693
699	2365	1689
700	2369	1686
701	2373	1683
702	2375	1679
703	2379	1676
704	2383	1673
705	2387	1670
706	2390	1667
707	2393	1663
708	2396	1659
709	2399	1656
710	2402	1652
711	2405	1648
712	2408	1645
713	2411	1641
714	2414	1637
715	2417	1634
716	2421	1631
717	2425	1628
718	2428	1624
719	2431	1620
720	2433	1616
721	2437	1613
722	2439	1609
723	2442	1605
724	2445	1602
725	2448	1598
726	2451	1594
727	2455	1592
728	2458	1588
729	2460	1584
730	2464	1581
731	2468	1578
732	2471	1574
733	2475	1571
734	2477	1567
735	2480	1563
736	2485	1561
737	2488	1557
738	2492	1554
739	2495	1551
740	2498	1547
741	2502	1544
742	2505	1540
743	2507	1536
744	2510	1532
745	2512	1529
746	2516	1526
747	2520	1523
748	2524	1519
749	2527	1516
750	2532	1513
751	2534	1510
752	2537	1506
753	2541	1503
754	2544	1499
755	2547	1496
756	2550	1492
757	2553	1489
758	2556	1485
759	2559	1481
760	2562	1478
761	2566	1475
762	2571	1472
763	2573	1468
764	2576	1465
765	2581	1462
766	2583	1458
767	2586	1454
768	2589	1451
769	2593	1448
770	2600	1447
771	2604	1443
772	2608	1440
773	2612	1437
774	2616	1434
775	2620	1431
776	2623	1428
777	2628	1425
778	2632	1422
779	2637	1420
780	2641	1417
781	2647	1415
782	2651	1412
783	2654	1408
784	2658	1405
785	2661	1401
786	2664	1398
787	2667	1394
788	2671	1391
789	2674	1388
790	2678	1384
791	2684	1382
792	2686	1379
793	2689	1375
794	2693	1372
795	2696	1368
796	2698	1364
797	2701	1361
798	2704	1357
799	2708	1354
800	2712	1351
801	2716	1348
802	2718	1344
803	2722	1341
804	2725	1337
805	2728	1333
806	2731	1330
807	2734	1326
808	2737	1322
809	2741	1319
810	2744	1316
811	2746	1312
812	2748	1308
813	2752	1305
814	2755	1301
815	2758	1298
816	2760	1294
817	2763	1290
818	2766	1286
819	2770	1284
820	2774	1280
821	2778	1277
822	2781	1274
823	2784	1270
824	2788	1267
825	2791	1263
826	2793	1260
827	2796	1256
828	2800	1253
829	2803	1249
830	2806	1246
831	2809	1242
832	2812	1239
833	2815	1235
834	2818	1232
835	2821	1228
836	2823	1224
837	2827	1221
838	2831	1218
839	2835	1215
840	2838	1211
841	2841	1208
842	2844	1204
843	2848	1201
844	2851	1197
845	2854	1194
846	2857	1191
847	2860	1187
848	2863	1183
849	2867	1180
850	2869	1176
851	2872	1173
852	2875	1169
853	2878	1166
854	2882	1163
855	2886	1159
856	2889	1156
857	2892	1153
858	2895	1149
859	2898	1146
860	2902	1142
861	2905	1139
862	2907	1135
863	2910	1131
864	2914	1128
865	2916	1125
866	2919	1121
867	2922	1117
868	2925	1114
869	2928	1110
870	2931	1107
871	2934	1103
872	2937	1100
873	2940	1096
874	2943	1093
875	2947	1090
876	2951	1086
877	2954	1083
878	2957	1079
879	2961	1077
880	2964	1073
881	2967	1069
882	2970	1066
883	2973	1062
884	2976	1059
885	2980	1056
886	2984	1053
887	2987	1049
888	2990	1046
889	2994	1042
890	2997	1039
891	3000	1036
892	3003	1032
893	3007	1029
894	3010	1025
895	3012	1022
896	3015	1018
897	3018	1015
898	3021	1011
899	3024	1008
900	3028	1005
901	3031	1001
902	3033	997
903	3037	994
904	3041	991
905	3044	987
906	3047	984
907	3050	980
908	3054	977
909	3058	974
910	3061	971
911	3064	967
912	3069	964
913	3073	961
914	3077	958
915	3080	955
916	3084	951
917	3087	948
918	3089	944
919	3093	941
920	3096	938
921	3098	934
922	3101	930
923	3105	927
924	3108	924
925	3111	920
926	3115	917
927	3117	913
928	3121	910
929	3124	907
930	3127	903
931	3130	900
932	3133	896
933	3136	893
934	3139	889
935	3143	886
936	3145	882
937	3148	879
938	3152	876
939	3155	872
940	3158	869
941	3160	865
942	3163	862
943	3167	858
944	3171	855
945	3174	852
946	3178	849
947	3181	845
948	3185	842
949	3190	839
950	3193	836
951	3196	832
952	3201	829
953	3205	826
954	3208	823
955	3212	819
956	3218	817
957	3221	813
958	3224	810
959	3227	806
960	3231	803
961	3235	800
962	3237	796
963	3240	793
964	3244	790
965	3247	786
966	3250	783
967	3254	779
968	3257	776
969	3259	772
970	3264	769
971	3266	766
972	3269	762
973	3273	759
974	3276	756
975	3279	752
976	3284	749
977	3287	746
978	3291	743
979	3295	739
980	3297	736
981	3301	732
982	3304	729
983	3306	725
984	3311	722
985	3314	719
986	3316	715
987	3320	712
988	3323	708
989	3326	705
990	3330	702
991	3333	699
992	3337	695
993	3342	692
994	3345	689
995	3349	686
996	3352	682
997	3355	679
998	3359	675
999	3362	672
1000	3365	669
1001	3368	665
1002	3371	662
1003	3375	658
1004	3379	655
1005	3381	652
1006	3384	648
1007	3387	645
1008	3391	642
1009	3395	638
1010	3399	635
1011	3401	631
1012	3405	628
1013	3409	625
1014	3413	622
1015	3416	618
1016	3420	615
1017	3423	611
1018	3426	608
1019	3429	605
1020	3431	601
1021	3435	598
1022	3438	594
1023	3441	591
1024	3444	588
1025	3447	584
1026	3451	581
1027	3455	578
1028	3458	574
1029	3461	571
1030	3464	567
1031	3467	564
1032	3471	561
1033	3475	557
1034	3479	554
1035	3482	551
1036	3486	547
1037	3489	544
1038	3493	541
1039	3496	537
1040	3499	534
1041	3502	531
1042	3506	527
1043	3508	524
1044	3512	521
1045	3516	517
1046	3520	514
1047	3522	510
1048	3525	507
1049	3528	504
1050	3532	500
1051	3535	497
1052	3537	493
1053	3541	490
1054	3545	487
1055	3549	484
1056	3553	480
1057	3558	477
1058	3564	474
1059	3569	471
1060	3574	468
1061	3578	464
1062	3582	461
1063	3587	458
1064	3591	455
1065	3596	452
1066	3601	448
1067	3607	445
1068	3612	442
1069	3618	439
1070	3622	436
1071	3626	432
1072	3629	429
1073	3633	426
1074	3637	422
1075	3639	419
1076	3642	415
1077	3646	412
1078	3649	409
1079	3652	405
1080	3655	402
1081	3658	399
1082	3661	395
1083	3665	392
1084	3668	388
1085	3670	385
1086	3674	381
1087	3678	378
1088	3681	375
1089	3685	371
1090	3689	368
1091	3693	365
1092	3697	361
1093	3700	358
1094	3703	355
1095	3706	351
1096	3709	348
1097	3713	344
1098	3716	341
1099	3718	338
1100	3722	334
1101	3726	331
1102	3729	328
1103	3732	324
1104	3735	321
1105	3738	317
1106	3743	314
1107	3745	311
1108	3748	307
1109	3751	304
1110	3754	300
1111	3757	297
1112	3761	294
1113	3764	290
1114	3766	287
1115	3769	283
1116	3772	280
1117	3775	276
1118	3778	273
1119	3781	270
1120	3784	266
1121	3788	263
1122	3791	259
1123	3793	256
1124	3796	253
1125	3800	249
1126	3803	246
1127	3807	243
1128	3811	239
1129	3813	236
1130	3817	232
1131	3820	229
1132	3823	226
1133	3827	222
1134	3831	219
1135	3835	216
1136	3838	212
1137	3842	209
1138	3845	205
1139	3848	202
1140	3852	199
1141	3856	195
1142	3858	192
1143	3861	189
1144	3864	185
1145	3868	182
1146	3870	178
1147	3874	175
1148	3877	172
1149	3879	168
1150	3886	165
1151	3889	162
1152	3892	158
1153	3895	155
1154	3899	151
1155	3903	148
1156	3907	145
1157	3910	141
1158	3914	138
1159	3918	135
1160	3921	131
1161	3924	128
1162	3927	124
1163	3931	121
1164	3935	118
1165	3937	114
1166	3941	111
1167	3945	108
1168	3949	104
1169	3953	101
1170	3955	97
1171	3959	94
1172	3962	91
1173	3965	87
1174	3968	84
1175	3971	81
1176	3974	77
1177	3979	74
1178	3982	70
1179	3985	67
1180	3990	64
1181	3993	60
1182	3997	57
1183	4000	54
1184	4004	50
1185	4007	47
1186	4011	43
1187	4014	40
1188	4017	37
1189	4020	33
1190	4023	30
1191	4028	27
1192	4031	23
1193	4033	20
1194	4037	16
1195	4040	13
1196	4043	10
1197	4047	6
1198	4049	3
1199	4052	0
