iter	Passed	Remaining
426	1931	4854
427	1937	4853
428	1942	4848
429	1946	4844
430	1952	4842
431	1956	4837
432	1961	4833
433	1966	4830
434	1972	4828
435	1976	4824
436	1983	4824
437	1987	4819
438	1992	4815
439	1997	4811
440	2003	4810
441	2007	4804
442	2012	4802
443	2017	4798
444	2023	4796
445	2027	4790
446	2033	4789
447	2037	4783
448	2041	4778
449	2046	4775
450	2051	4771
451	2055	4765
452	2060	4763
453	2065	4757
454	2070	4754
455	2074	4749
456	2080	4749
457	2085	4743
458	2089	4739
459	2094	4735
460	2099	4732
461	2104	4728
462	2111	4728
463	2116	4725
464	2120	4720
465	2127	4719
466	2132	4716
467	2137	4713
468	2142	4709
469	2147	4706
470	2152	4702
471	2157	4699
472	2162	4695
473	2166	4690
474	2171	4685
475	2177	4683
476	2181	4678
477	2185	4673
478	2190	4669
479	2195	4665
480	2199	4659
481	2204	4655
482	2255	4749
483	2260	4745
484	2274	4759
485	2278	4753
486	2282	4748
487	2286	4742
488	2293	4741
489	2297	4735
490	2302	4731
491	2307	4728
492	2312	4722
493	2316	4717
494	2322	4716
495	2327	4711
496	2332	4707
497	2337	4703
498	2342	4699
499	2347	4694
500	2352	4690
501	2356	4685
502	2362	4682
503	2366	4676
504	2372	4674
505	2376	4668
506	2381	4663
507	2386	4659
508	2391	4655
509	2395	4649
510	2401	4647
511	2405	4642
512	2409	4636
513	2413	4629
514	2420	4630
515	2424	4623
516	2428	4617
517	2433	4613
518	2439	4611
519	2443	4604
520	2448	4601
521	2452	4595
522	2457	4589
523	2460	4583
524	2466	4580
525	2469	4573
526	2474	4568
527	2478	4562
528	2483	4559
529	2487	4553
530	2492	4547
531	2497	4543
532	2501	4538
533	2506	4533
534	2509	4526
535	2521	4535
536	2525	4529
537	2531	4526
538	2536	4521
539	2540	4516
540	2544	4511
541	2549	4506
542	2554	4502
543	2560	4498
544	2564	4494
545	2569	4489
546	2573	4483
547	2578	4478
548	2582	4473
549	2586	4466
550	2590	4461
551	2595	4457
552	2600	4453
553	2604	4446
554	2610	4445
555	2614	4439
556	2619	4434
557	2623	4429
558	2629	4425
559	2633	4419
560	2637	4415
561	2642	4411
562	2648	4408
563	2652	4402
564	2658	4399
565	2662	4393
566	2666	4388
567	2671	4383
568	2676	4379
569	2680	4373
570	2685	4369
571	2690	4364
572	2694	4359
573	2698	4353
574	2703	4349
575	2708	4345
576	2713	4341
577	2718	4336
578	2723	4332
579	2728	4327
580	2732	4322
581	2738	4318
582	2743	4315
583	2747	4310
584	2753	4306
585	2757	4300
586	2762	4296
587	2767	4292
588	2773	4289
589	2777	4284
590	2782	4280
591	2789	4277
592	2794	4273
593	2798	4269
594	2805	4267
595	2811	4263
596	2815	4259
597	2822	4256
598	2827	4252
599	2832	4249
600	2837	4244
601	2842	4240
602	2847	4236
603	2852	4231
604	2858	4228
605	2862	4223
606	2868	4220
607	2872	4214
608	2877	4210
609	2882	4206
610	2887	4201
611	2892	4196
612	2899	4194
613	2903	4189
614	2908	4184
615	2912	4179
616	2918	4176
617	2922	4170
618	2926	4165
619	2931	4160
620	2935	4155
621	2940	4150
